code,relative_text_contribution,relative_group_fit,quote,ID,row_num
V1,1,0.948,"They are misidentifying the actual location of the shooter on the roof. This is now showing up in multiple reports. The shooter was located on the end of the building next to the grassy area, as can be seen in multiple attendees photos. The incorrect location next to the parking lot is now showing up in reports. This location is behind trees between the SS snipers and the shooter. Additionally these reports are changing which SS sniper team eliminated the shooter threat. The SS sniper team that took out the shooter are on top of the barn location that is stage right, on Trump's right facing out from the stage. In photos and videos the two SS snipers located on the right of the stage can clearly be seen observing the shooter through their scopes and waiting until the shooter shoots Trump, before the SS sniper opens fire on the shooter. The SS snipers located stage right, could not see the shooter if he was located at the end of the building next to the parking lot and behind the row of trees blocking that view. The end of the building next to the grassy area has a clear view of the shooter, as can be seen in all photos and videos. The new story is the second SS sniper team located stage left... shot the shooter. This second team was not primarily facing and surveying the building where the shooter was located. This is a redirect of the facts of where the shooter was located and which SS sniper team had the shooter under surveillance and shot him within 2-3 seconds after the shooter shot Trump. This is a cover up for the fact that the SS had the shooter under direct surveillance well before he started shooting, killing one and wounding two other attendees and shooting Trump. The Secret Service and FBI appear to be deliberately putting out false information about the location of the shooter. Why? face with tears of joy",UgweGqhQJqvA3E-Jgb14AaABAg,5052
V1,0.859,0.948,"Great work producing this video however, there are numerous errors. For instance, the shooters location on the roof depicted in your video is incorrect. Based on video evidence, he was located further toward the right on the roof and concealed by a tree from the Secret Service Counter Sniper team on the North building behind President Trump. In addition, the second SS sniper team was not accounted for in your video. It is these snipers on the South Building (over and behind Trump's left shoulder) that actually took down the shooter because they were not impeded by the tree. What would be interesting to determine is the geometry of the shot based on the actual position of the shooter further to the right on the roof. Is it even possible that he could have pulled off the shot from the actual position of the shooter and still hit Trump's right ear while missing his head? It seems to me the geometry tells a different story......the shooter could not have grazed Trump's ear from his position on the roof......in order for that to happen, Trump would need to be looking even further to the right and straight at the shooter. Video and audio analysis indicates there may have been another shooter from within the adjacent building on the second floor......where there is video evidence of a single window being open during the rally. It just happens to be where the other \government\"" snipers were located. In addition, audio analysis of the rifle reports indicate the first three shots were muffled with no echo, unlike the following rapid fire five shots that do indicate an echo after each shot. Something smells......""",UgwIsIO8ooER16H9O694AaABAg,992
V1,0.844,0.948,"Great work producing this video however, there are numerous errors. For instance, the shooters location on the roof depicted in your video is incorrect. Based on video evidence, he was located further toward the right on the roof and concealed by a tree from the Secret Service Counter Sniper team on the North building behind President Trump. In addition, the second SS sniper team was not accounted for in your video. It as these snipers that actually took down the shooter because they were not impeded by the tree. What would be interesting to determine the geometry of the shot based on the actual position of the shooter further to the right on the roof. Is it even possible that he could have pulled off the shot from the actual position of the shooter and still hit Trump's right ear while missing his head? It seems to me the geometry tells a different story......the shooter could not have grazed Trump's ear from his position on the roof......in order for that to happen, Trump would need to be looking even further to the right and straight at the shooter. Video and audio analysis indicates there may have been another shooter from within the adjacent building on the second floor......where there is video evidence of a single window being open during the rally. It just happens to be where the other \government\"" snipers were located.""",UgwqGPehK5XMIZAtQWx4AaABAg,989
V1,0.801,0.948,"Please do a better job of recounting the facts before posting a video. Here is my take from my research... first shot missed trump, second hit his ear third shot also missed Trump. The string of fire that was 4 shots stooped when you heard a trailing shot likely the first shot the Counter sniper team when engaging the shooter and was followed by another Safety shot seconds later. I believe that is why he didn't do a full mag dump as he was neutralized..... It was reported by in SS insider that neither of the SS counter snipers shown on the roof fired a shot. A local law enforcement team engaged the shooter from a different location with a 308. Both of the SS counter snipers had 300 Win Mag's. I saw the image of the suspect deceased and he was clearly not shot with a 300 win Mag as his head was still intact. It appears like the shooter was hit on the upper left side of his head possible hair line and the bullet exited lower part of his neck just below his right ear at the toward the back of his lower jaw. So would suspect that round was fired from his left side in a 20-40 degree angle to his shooting position. The reason the shooter missed is due to the fact he was using an ACOG sight with a 4 min dot. At 150 yards this covers 6 inches. See if you can validate these facts for us. I am curious of getting the truth and inaccurate reporting just not helping.",Ugx_Vj3uMZQ-kPqdXBt4AaABAg,12097
V1,0.777,0.948,"Who shot Crooks? His position has been changed in media reports from left side of the roof to the right (because that's where his body was). And with that new position ,there was a tree in the way blocking him from the snipers on the roof behind Trump. And who shot Trump? The new position makes it less likely that a bullet could have grazed the ear and not hit the head. So it looks like three shooters, in addition to the snipers on the roof, who don't appear to have shot anyone except maybe the guy on the water tower that might have shot Crooks. Now, about that open window directly behind the original position given for Crooks on the left side of the building... apparently there was a local law enforcement sniper team in there?",Ugyux6iJIXBP7wb_mxd4AaABAg,5212
V1,0.776,0.948,"As long as we accept FBI's story of a \lone gunman\"" we are being lied to. Crooks was the patsy in the mold of Lee Harvey Oswald, and he missed... but the bigger picture is the audio propagation delay analysis examining the podium audio (which is professional level audio recording) clearly prove NOT 1 but 2 shooters: one at Crooks location (nominal 150yds) that fired the first 3 shots and THEN the next 4 or 5 were fired from a clearly VERY different rifle which analysis proves fired at a nominal 400 yds. from the podium - these distances are based on physics of propagation delay, and they use a fairly straightforward formula comparing the report of the supersonic \""bark\"" of the bullet as it passes the podium against the air propagation sound velocity (i.e.: 343 meters per second) of the much more delayed \""shot sound\"" arriving to the podium mic... which, in the case of the 4th shot onward was MUCH later. With this knowledge you can leave guessing behind and mathematically ascertain the nominal distance between the shooter and the podium. I have served as both Sr. and Principal RF & Electromagnetics engineer in global corporations and have spent decades routinely doing professional propagation analysis professionally for Radio, Fiber, and Free-Space Optics networks both to provide distance to fault, and to synchronize simulcasts with minimal inter-symbol interference - while the assassination attempt is is audio, the propagation analysis method to prove distance with only a few velocity changes is virtually identical. There are a small amount of YouTube videos that use this scientifically valid analysis, and at least a few of them go on to show OTHER rooftops well outside of the perimeter where an assassin could have been positioned at 400 yds. I encourage you to look into these studies. A good summary is: \""Audio Analysis Is 100% Clear Trump& Crowd Were Shot At By Two Separate People\"". https://youtu.be/LouUbMYb7Bc?si=SDRhitf-d4tVg-hb""",UgxO_M45VE3ZYCsYygh4AaABAg,4831
V1,0.757,0.948,"It's is a well put together video, but you have the position of the shooter wrong. From Trump's position, you placed him on the left hand side of the roof. If you look at arial news footage, the shooter was on the RIGHT hand side of the roof. The reason the snipers did not engage earlier is because there was a tree blocking their view of the shooter- but at that angle, the same tree did not block the shooter's view of Trump. There were also two sniper teams. One on the left roof behind Trump and another one on the right roof behind Trump. Both sniper teams were blocked by the previous mentioned tree.",UgwYx-VjPsbNYAV0ceR4AaABAg,2706
V1,0.75,0.948,"I would challenge your head movement theory, the bullet traveling at 3200fps getting to its target in about 1/8 of a second, if the shooter is on target the subject is unable to jump the speed of the bullet regardless of head position. Typically a right hand shooter would pull a shot to the right yet in this case the shooter misses left roughly 5 to 6 inches from center mass. Here is why, Mr Trump turned his head just before the shooter was going to send the bullet, it startled the inexperienced shooter and panic followed, the shooter pulls to the left and over corrected for mr Trumps movement and missed. Thankfully he missed, he was a poor shot and thats it, he just panicked and missed the 3 shot burst is another indication of panic",UgzItUUcx2b2MA7hcdR4AaABAg,386
V1,0.718,0.948,"Your diagram of the shooter's location is wrong. You placed him in front. He was located on the far side of the building, about 1/4 from the furthest end. Mostly blocked by trees from Trump's location. We can also conclude the locations of 3 of 4 people hit. As well as a hit hydraulic line. If you have a straight edge and Maps, it all lines up. Also, neither of the two rooftop SS teams took him out. Their line of view was blocked by trees. It was another team located on a rooftop on the other side and much further out. That would coincide with the location of the wound on the shooter's head. At this point all I want to know is.. How could they not have that position covered?? We will never know. Total negligence of duty. Why is a Pepsi executive running the Secret Service?",Ugwc0oxFFkWgxMtO4Rx4AaABAg,1076
V1,0.703,0.948,2 thumbs down for AiTelly. GET YOUR FACT CORRECT. The sniper was not on that side of the roof he was closer to the ladder side of the roof. So why did you draw your diagram showing him on the wrong side of the roof ? his dead body was shown from helicopter video on the opposite side of where you say he was stationed ? Are you aware that in the position you placed him on the roof that directly behind him on the 2nd floor there is an open window with the very same angle to trump as the sniper on the roof. Your facts are wrong and why do you not show the 2nd story building with the open window directly behind the rooftop sniper is that on purpose ?,Ugwav-LX4sHnvvcMfed4AaABAg,1666
